"Pt-0","true","704.8785749464479","264.6963847809895","210.1924092834372","156268.25361","85429.15021","27270.00000"
"Pt-1","true","730.4794246486695","264.7117485558417","211.86371392547684","159353.22297","86562.37328","26290.00000"
"Pt-2","true","736.0884837764047","305.8448488258986","221.21214580503536","159890.87414","90121.62199","27790.00000"
"Pt-3","true","702.667839806983","303.7414516529981","224.48409696288107","155972.21030","89559.29028","28820.00000"
"Pt-4","true","714.8208012504087","204.414362932689","211.1625815345099","156943.61711","80094.62536","22680.00000"
"Pt-5","true","600.5362215228055","288.7839606457045","382.4725957274204","139687.19156","79668.67421","47420.00000"
"Pt-6","true","839.8560776395063","288.55024984871517","381.3040417424737","171042.48314","83459.10838","45170.00000"
"Pt-7","true","721.1309927691119","242.27551204490078","362.6071779833578","157236.06999","78041.13836","41720.00000"
"Pt-8","true","770.6776817307726","218.2032999550376","374.29271783280547","166327.83360","74669.86382","42470.00000"
"Pt-9","true","653.8222832362899","220.77411872191632","383.6411497123649","148133.97139","73094.83867","44090.00000"
"Pt-10","true","681.0721602178572","168.44789600278557","215.6639175561596","150838.26734","74371.89038","23650.00000"
"Pt-11","true","749.3183344270467","167.79482256537705","218.27621130579362","163741.26388","74388.70504","22880.00000"
"Pt-12","true","510.07551490961964","245.96615523733814","362.3119287610038","129305.42010","76961.46638","44020.00000"
"Pt-13","true","573.910189886776","39.19050629571481","286.8819467403205","138435.79741","56160.75008","23430.00000"
"Pt-14","true","536.2825016876279","53.223712297667106","271.7798697140369","131973.54288","57807.12617","24120.00000"
"Pt-15","true","866.2256883502605","32.65696193540752","290.59625834333815","177108.62969","57710.47162","20470.00000"
"Pt-16","true","900.3577421429467","44.03431319963623","268.7167366813598","183054.79318","59818.41612","18810.00000"
"Pt-17","true","933.1990084505893","236.79337890917242","368.70058226933827","185225.12482","80829.41712","38060.00000"
"Pt-18","true","487.7437495928028","181.23182990504174","205.3530720672738","125964.86935","77429.62583","25180.00000"
"Pt-19","true","411.10600288044225","385.29483577449196","236.51151918121104","111896.25485","99129.61604","39090.00000"
"Pt-20","true","449.0799554611658","361.53867275505127","254.48090482967746","118180.57086","94918.24318","39930.00000"
"Pt-21","true","338.17909094954666","288.776811730233","256.60025313056394","104130.73129","85425.69518","39110.00000"
"Pt-22","true","367.9599007151919","272.6645438317428","269.84693610890463","107906.28471","83579.20183","38780.00000"
"Pt-23","true","349.2834805359962","355.2632289958219","238.48310575073629","103437.94172","93810.22836","38610.00000"
"Pt-24","true","500.7497369897792","321.86467780891326","256.3133384876455","128052.19139","91681.53634","36900.00000"
"Pt-25","true","502.6493450457783","336.00182240866343","250.90209577255155","127539.39191","94071.38800","36680.00000"
"Pt-26","true","321.107553122245","183.5097391059353","325.59349227165876","102776.53274","70251.20851","40620.00000"
"Pt-27","true","340.306865531682","155.0727491134312","306.7691921418573","106298.20821","68927.17885","37410.00000"
"Pt-28","true","465.5190435090408","139.36314780514658","193.50123668267997","123282.37235","72905.12442","23530.00000"
"Pt-29","true","464.27826125134015","74.79553820974252","260.92574817989","122866.73296","61238.49202","25880.00000"
"Pt-30","true","388.2821076291657","174.57041979007408","208.01301648502522","113618.31071","74763.17030","27800.00000"
"Pt-31","true","468.3594336903807","333.7947532415601","329.50794559308997","120962.64164","86261.56469","46030.00000"
"Pt-32","true","590.0532929919391","612.5345488418352","207.29176457515132","137147.43284","125380.44330","45820.00000"
"Pt-33","true","449.5010248243343","428.8626125880314","237.08938695091274","117307.26478","102463.68177","41260.00000"
"Pt-34","true","356.3301022500018","230.90942818841904","193.85066513460333","107650.50151","81348.19322","29940.00000"
"Pt-35","true","341.38210223821807","285.62706377470204","172.96421553754772","105690.83957","88317.92680","28760.00000"
